City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.4,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
5,Vanimo,PG,77.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
12,Wewak,PG,77.77,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
14,Bengkulu,ID,74.97,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
16,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Ocampo,MX,70.95,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
28,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Waingapu,ID,78.71,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
32,Kuah,MY,80.58,few clouds,6.3265,99.8432,Azio Hotel
33,Bandarbeyla,SO,76.77,broken clouds,9.4942,50.8122,JABIR HOTEL
35,Butaritari,KI,82.53,broken clouds,3.0707,172.7902,Isles Sunset Lodge
37,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
42,Buala,SB,78.21,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
46,Sonoita,MX,73.53,few clouds,31.85,-112.8333,Hotel Nora
53,Atuona,PF,78.03,few clouds,-9.8,-139.0333,Villa Enata
56,Hilo,US,77.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
61,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Cabo San Lucas,MX,83.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
71,Sao Filipe,CV,77.59,clear sky,14.8961,-24.4956,Hotel Xaguate
81,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Kavieng,PG,82.31,light rain,-2.5744,150.7967,Nusa Island Retreat
92,Rusape,ZW,72.36,broken clouds,-18.5278,32.1284,Surrey Lodge
94,Lorengau,PG,81.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
95,Sur,OM,73.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
98,Trairi,BR,85.62,clear sky,-3.2778,-39.2689,janelas do mar
99,Chabahar,IR,73.47,clear sky,25.2919,60.643,هتل گدروشیا
101,Mar Del Plata,AR,73.42,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
102,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
105,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
107,Ancud,CL,76.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
109,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
111,Nueva Helvecia,UY,82.6,clear sky,-34.3,-57.2333,La Posada de Ofelia
114,Kahului,US,76.84,mist,20.8947,-156.47,Maui Seaside Hotel
116,Rocha,UY,73.56,clear sky,-34.4833,-54.3333,Hotel Arrarte
120,Mercedes,AR,86.18,clear sky,-34.6515,-59.4307,Posada del Inti Centro
121,Bac Lieu,VN,75.69,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
122,Yeppoon,AU,74.98,broken clouds,-23.1333,150.7333,Villa Mar Colina
125,Isangel,VU,75.31,clear sky,-19.55,169.2667,Tanna Lodge
128,Dingle,PH,73.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
129,Makasar,ID,75.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
130,Faanui,PF,80.51,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
141,Byron Bay,AU,74.05,overcast clouds,-28.65,153.6167,Backpackers Inn
143,Cananeia,BR,71.15,few clouds,-25.0147,-47.9267,Pousada Ancoradouro
147,Chirongui,YT,80.53,broken clouds,-12.9319,45.1483,La Villa Mahatsara
151,Laredo,US,71.6,clear sky,27.5064,-99.5075,La Posada Hotel
153,Makakilo City,US,70.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
156,Springbok,ZA,70.93,clear sky,-29.6643,17.8865,Undulata Country Lodge
158,Kimbe,PG,76.42,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
161,Guayaramerin,BO,86.05,scattered clouds,-10.8368,-65.3614,Hostal Funf
165,Sadasivpet,IN,72.41,broken clouds,17.6212,77.9503,Anantha sai medical & General store
172,Tecoanapa,MX,83.5,clear sky,16.5167,-98.75,Hotel Manglares
173,Maldonado,UY,76.39,clear sky,-34.6667,-54.9167,La Cimarrona
174,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
180,Katobu,ID,74.86,overcast clouds,-4.9408,122.5276,La Ode Husein
181,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
182,Chuy,UY,70.2,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
184,Wau,SS,85.14,overcast clouds,7.7029,27.9953,Universal Gab Hotel
187,Atambua,ID,74.01,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
191,Hualmay,PE,72.45,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
192,Matadi,CD,78.82,light rain,-5.8167,13.45,Hotel Vivi Palace
196,Quelimane,MZ,84.15,clear sky,-17.8786,36.8883,Hotel Flamingo
197,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
200,Sharjah,AE,75.18,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
201,Namatanai,PG,79.27,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
202,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
205,Arraial Do Cabo,BR,75.06,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
207,Kudahuvadhoo,MV,81.72,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
212,Mpika,ZM,73.99,scattered clouds,-11.8343,31.4529,Melodies Lodge
215,Caravelas,BR,74.23,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
216,Lakatoro,VU,80.65,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
221,Vila Velha,BR,73.35,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
223,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
225,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
232,Cairns,AU,78.75,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
237,Sao Jose Da Coroa Grande,BR,82.0,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
242,Soyo,AO,82.45,clear sky,-6.1349,12.3689,Hotel Mpampa
243,Umm Lajj,SA,76.82,scattered clouds,25.0213,37.2685,Moon light Furnished Units
246,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
247,Banda Aceh,ID,77.92,clear sky,5.5577,95.3222,Sulthan Hotel International
253,Bangui,CF,77.32,broken clouds,4.3612,18.555,SAM HOTEL
255,Tres Arroyos,AR,87.84,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
257,Nueva Loja,EC,81.88,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
260,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
264,Mattru,SL,79.63,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
269,Cibinong,ID,78.13,few clouds,-6.4817,106.8542,Cirimekar Residence
271,Vallenar,CL,83.17,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
276,Kousseri,CM,80.56,dust,12.0769,15.0306,Le Pilotis
278,Howard Springs,AU,79.83,broken clouds,-12.497,131.047,buffalo beach hostel
280,Serenje,ZM,70.52,clear sky,-13.2325,30.2352,The Kabaso's
282,Atar,MR,74.05,broken clouds,20.5169,-13.0499,Oumou Elghoura
283,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
292,Touros,BR,85.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
293,Buckeye,US,74.39,overcast clouds,33.3703,-112.5838,Buckeye Motor Hotel
296,Placido De Castro,BR,86.81,overcast clouds,-10.3353,-67.1856,Hotel Carioca
304,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
307,Anloga,GH,84.42,clear sky,5.7947,0.8973,Pin Drop Hotel
308,Namibe,AO,73.02,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
309,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
316,Miandrivazo,MG,83.48,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
322,Kisangani,CD,73.15,overcast clouds,0.5167,25.2,Grand Ramela Hotel
327,Belmonte,BR,81.1,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
328,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
329,Raichur,IN,73.27,scattered clouds,16.2,77.3667,Hotel CM Residency
331,Ende,ID,79.16,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
333,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
335,Pucallpa,PE,86.04,broken clouds,-8.3791,-74.5539,Hospedaje Komby
351,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
354,Marsh Harbour,BS,79.57,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
356,Mogadishu,SO,80.02,scattered clouds,2.0371,45.3438,Hotel Juba
357,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
360,Wajir,KE,85.96,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
363,Taloda,IN,71.85,clear sky,21.5667,74.2167,Churati lodge
365,Ranot,TH,78.82,clear sky,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
366,Alice Springs,AU,72.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
369,Coihaique,CL,79.41,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
371,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
372,Kieta,PG,79.23,light rain,-6.2167,155.6333,Uruna Bay Retreat
379,Poum,NC,81.12,clear sky,-20.2333,164.0167,Gîte kajeon
381,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
386,Kavaratti,IN,80.04,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
393,Pombas,CV,74.98,broken clouds,17.1503,-25.0201,Paul Paradis
397,Iguape,BR,72.07,few clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
398,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
401,Itarema,BR,85.57,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
403,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
405,Tagusao,PH,77.2,overcast clouds,9.1924,117.8141,Toledo
406,Bowen,AU,71.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
409,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
411,Am Timan,TD,84.79,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
412,Itambacuri,BR,75.78,broken clouds,-18.0311,-41.685,Pousada Bela
413,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
416,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
420,Kulhudhuffushi,MV,81.95,overcast clouds,6.6221,73.07,Haajy Guest House 1
422,Jacksonville,US,75.06,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
425,Mahibadhoo,MV,81.59,broken clouds,3.7833,72.9667,Omadhoo Inn
426,Cidreira,BR,71.19,scattered clouds,-30.1811,-50.2056,Hotel Castelo
428,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
430,Gouyave,GD,86.77,scattered clouds,12.1646,-61.7296,Rumboat Retreat
433,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
439,Phan Thiet,VN,71.83,overcast clouds,10.9333,108.1,Hotel Saigon-PT
441,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
443,Correntina,BR,78.67,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
445,Puerto Cabezas,NI,85.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
454,Harper,LR,80.33,clear sky,4.375,-7.7169,Screensaver
455,Salinopolis,BR,80.98,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
459,Macae,BR,74.97,heavy intensity rain,-22.3708,-41.7869,Personal Hotel
467,Mumford,GH,80.83,clear sky,5.2618,-0.759,Spanish Villa
469,Honiara,SB,77.85,overcast clouds,-9.4333,159.95,Heritage Park Hotel
471,Pisco,PE,71.02,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
474,Ratnagiri,IN,75.2,clear sky,16.9833,73.3,Hotel Landmark
476,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
480,Kefamenanu,ID,72.16,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
484,Matara,LK,76.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
488,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
489,Kalmunai,LK,77.31,broken clouds,7.4167,81.8167,VS Villa
493,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
494,Pringsewu,ID,73.08,broken clouds,-5.3582,104.9744,Urban Style by Front One
497,Olavarria,AR,83.01,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
515,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
520,Moron,AR,86.95,clear sky,-34.6534,-58.6198,Hotel Morón
522,Conceicao Do Almeida,BR,82.35,broken clouds,-12.7794,-39.17,Pousada Caldas e Andrada
526,Nouna,BF,85.3,broken clouds,12.7333,-3.8667,Sabunyuma So
528,Padang,ID,78.08,light rain,-0.9492,100.3543,Mercure Padang
529,Magdalena,PH,78.12,scattered clouds,14.1999,121.429,Samparada & Gestiada Residences
530,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
533,Cocobeach,GA,80.56,light rain,1.0002,9.5823,Hotel Esperance
536,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
537,Fare,PF,80.89,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
538,Chateaubelair,VC,84.81,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
539,Banjarmasin,ID,75.34,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
543,Savannah Bight,HN,84.25,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
544,Sangmelima,CM,73.92,few clouds,2.9333,11.9833,gamestar hotel
545,Ipixuna,BR,80.55,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
549,Feijo,BR,85.08,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
550,Tautira,PF,84.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
552,Alvaraes,BR,89.47,moderate rain,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
556,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
557,Puerto Baquerizo Moreno,EC,74.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
565,Samut Sakhon,TH,76.01,scattered clouds,13.5833,100.3,Taweesuk Residence
570,Le Vauclin,MQ,86.13,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
573,Itauna,BR,70.81,scattered clouds,-20.0753,-44.5764,Hotel Ponto Chic
575,Soanierana Ivongo,MG,74.71,clear sky,-16.9167,49.5833,La Concorde
578,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
579,Bumba,CD,72.41,moderate rain,2.1833,22.4667,Père Carlos
580,Imbituba,BR,73.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
581,Mvomero,TZ,75.15,overcast clouds,-6.25,38.6667,Kisampa Bush Retreat
585,Mapastepec,MX,90.0,clear sky,15.4333,-92.9,Hotel San Carlos
586,Breves,BR,81.3,light rain,-1.6822,-50.4803,Hotel e Restaurante Grill
587,Akyab,MM,78.17,broken clouds,20.15,92.9,Hotel Memory
589,Dwarka,IN,75.65,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
590,Sekondi,GH,80.67,clear sky,4.937,-1.7128,Mapees Guest House
594,Hobyo,SO,78.26,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
599,Ambilobe,MG,77.0,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
602,Yenagoa,NG,81.0,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
603,Puerto Colombia,CO,87.89,few clouds,10.9878,-74.9547,Hotel El Emigrante
604,Port-Gentil,GA,81.05,broken clouds,-0.7193,8.7815,Fengshui Residence
605,Cape Coast,GH,80.92,clear sky,5.1053,-1.2466,Samrit Hotel
609,Samarai,PG,80.62,broken clouds,-10.6167,150.6667,Nuli Sapi
611,Sao Felix Do Xingu,BR,75.11,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
614,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
616,Rio Bananal,BR,72.21,light rain,-19.265,-40.3333,HOTEL SCARTON
619,Oussouye,SN,86.18,overcast clouds,12.485,-16.5469,Auberge du Routard
624,Tahoua,NE,84.18,clear sky,14.8888,5.2692,Bungalows Guesthouse
625,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
628,Fougamou,GA,76.33,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
638,Antalaha,MG,73.96,clear sky,-14.9003,50.2788,Hotel Vitasoa
644,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
648,San Cosme Y Damian,PY,89.78,clear sky,-27.3167,-56.35,Posada Turística Aguapey
652,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
653,Petrolina De Goias,BR,78.96,broken clouds,-16.095,-49.3381,Hotel Santa Rita
656,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
659,Santa Maria,BR,81.7,few clouds,-29.6842,-53.8069,Hotel Morotin
661,Auki,SB,76.86,light rain,-8.7676,160.7034,Auki Motel
664,San Pedro De Lloc,PE,74.57,broken clouds,-7.4328,-79.5058,La Posada Del Valle
668,Finschhafen,PG,80.08,overcast clouds,-6.6024,147.8681,Cossam Guest House
669,Bembereke,BJ,81.14,overcast clouds,10.2283,2.6634,Hotel Bio Guera
670,Sabang,ID,82.06,few clouds,5.8933,95.3214,Hotel Citra
683,Gizo,SB,78.22,moderate rain,-8.103,156.8419,Imagination Island
695,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
699,Coruripe,BR,82.62,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
